id,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,materialSampleID,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,identificationVerificationStatus,typeStatus,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks
767126369,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126369,BOMBUS24921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126370,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126370,BOMBUS24922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126371,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126371,BOMBUS24923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126372,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126372,BOMBUS24924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126373,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126373,BOMBUS24925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126374,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126374,BOMBUS24926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126375,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126375,BOMBUS24927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Saline,,Swan Lake,,,,,,,,,,,,,40.51,-97.2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126376,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126376,BOMBUS24928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,7,8,,,,,,,,,,,,,USA,,Nebraska,Butler,,Hwy 92,,,,,,,,,,,,,41.1376,-97.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126377,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126377,BOMBUS24929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126378,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126378,BOMBUS2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,8,15,,,,,,,,,,,,,USA,,New York,Essex,,Heart Lake,,,,,,,,,,,,,44.18244,-73.96805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus terricola,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,terricola,,,,Kirby 1837,,,,,
