id,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,materialSampleID,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,identificationVerificationStatus,typeStatus,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks
767110628,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110628,BOMBUS1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,8,6,,,,,,,,,,,,,Mexico,,Mexico,,,Tzintzuntzan,,,,,,,,,,,,,19.62878,-101.57769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110639,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110639,BOMBUS1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,8,6,,,,,,,,,,,,,Mexico,,Mexico,,,Tzintzuntzan,,,,,,,,,,,,,19.62878,-101.57769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110650,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110650,BOMBUS1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,21,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110661,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110661,BOMBUS1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,19,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110694,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110694,BOMBUS1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,7,30,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110728,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110728,BOMBUS1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,19,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767111072,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767111072,BOMBUS1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,9,1,,,,,,,,,,,,,Mexico,,Mexico,,,Hermoallin; Sonora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767111960,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767111960,BOMBUS1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,4,15,,,,,,,,,,,,,Mexico,,Mexico,,,Nuevo Leon W. of Linares,,,,,,,,,,,,,24.85657,-99.58974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767112072,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767112072,BOMBUS1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,21,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767112267,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767112267,BOMBUS1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,19,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767113738,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767113738,BOMBUS1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,7,13,,,,,,,,,,,,,Mexico,,Mexico,,,Oaxaca,,,,,,,,,,,,,17.06601,-96.71705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767135957,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767135957,BOMBUS33485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,9,13,,,,,,,,,,,,,Mexico,,Quintana Roo,,,Nansemond; Cypress Chapel,,,,,,,,,,,,,36.61848,-76.59272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767136283,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767136283,BOMBUS33755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944,1,8,,,,,,,,,,,,,Mexico,,Tamaulipas,,,40 mi. S Matamoros,,,,,,,,,,,,,25.27261,-97.43743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767140079,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767140079,BOMBUS37213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933,6,19,,,,,,,,,,,,,Mexico,,Quintana Roo,,,,,,,,,,,,,,,,37.26954,-76.01521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus impatiens,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,impatiens,,,,Cresson 1863,,,,,
