,Megachile mendica
,Hoplitis pilosifrons
Penstemon digitalis,Agapostemon virescens
Penstemon digitalis,Bombus bimaculatus
Trifolium pratense,Bombus bimaculatus
Melilotus officinalis,Bombus impatiens
Melilotus officinalis,Halictus poeyi/ligatus
Melilotus officinalis,Bombus griseocollis
Leucanthemum vulgare,Lasioglossum hitchensi
Leucanthemum vulgare,Lasioglossum weemsi
Leucanthemum vulgare,Andrena perplexa
,Agapostemon sericeus
,Andrena wilkella
,Andrena macra
Penstemon digitalis,Augochlorella aurata
Tradescantia virginiana,Hoplitis truncata
Tradescantia virginiana,Lasioglossum trigeminum
,Halictus parallelus
Melilotus officinalis,Augochloropsis metallica_fulgida
Melilotus officinalis,Andrena wilkella
Melilotus officinalis,Andrena atlantica
Trifolium pratense,Andrena wilkella
Leucanthemum vulgare,Andrena atlantica
Leucanthemum vulgare,Augochloropsis metallica_fulgida
Penstemon digitalis,Hoplitis truncata
,Hoplitis truncata
Leucanthemum vulgare,Agapostemon splendens
Trifolium pratense,Bombus griseocollis
Monarda punctata,Lasioglossum pilosum
Monarda punctata,Bombus bimaculatus
Asclepias tuberosa,Halictus poeyi/ligatus
Asclepias tuberosa,Augochloropsis metallica_metallica
Penstemon digitalis,Lasioglossum pilosum
Penstemon digitalis,Lasioglossum callidum
Rudbeckia hirta,Lasioglossum hitchensi
Rudbeckia hirta,Melissodes subillatus
Coronilla varia,Lasioglossum callidum
Coronilla varia,Anthidiellum notatum
Coronilla varia,Megachile exilis
Coronilla varia,Bombus bimaculatus
Coronilla varia,Bombus griseocollis
Trifolium repens,Bombus bimaculatus
Melilotus officinalis,Heriades carinata
Lobularia maritima,Lasioglossum coreopsis
Lobularia maritima,Halictus poeyi/ligatus
,Lasioglossum ephialtum
Asclepias tuberosa,Augochlorella aurata
Penstemon digitalis,Ceratina mikmaqi
Penstemon digitalis,Osmia distincta
Penstemon digitalis,Megachile georgica
Melilotus officinalis,Megachile exilis
Melilotus officinalis,Nomada articulata
Lobularia maritima,Augochlorella aurata
,Lasioglossum gotham
Asclepias tuberosa,Megachile exilis
Asclepias tuberosa,Agapostemon splendens
Asclepias tuberosa,Megachile texana
